Age,Population
0,166197.0
1,178789.0
2,175358.0
3,188959.0
4,196894.0
5,210042.0
6,221383.0
7,230974.0
8,236797.0
9,237908.0
10,241615.0
11,254273.0
12,260707.0
13,261243.0
14,272990.0
15,274868.0
16,266690.0
17,266263.0
18,267621.0
19,264262.0
20,266531.0
21,260038.0
22,263491.0
23,264650.0
24,257672.0
25,258837.0
26,261990.0
27,263580.0
28,263883.0
29,272777.0
30,281435.0
31,282307.0
32,282492.0
33,286117.0
34,289498.0
35,292486.0
36,298533.0
37,301236.0
38,314169.0
39,325461.0
40,337884.0
41,355027.0
42,371817.0
43,383124.0
44,396296.0
45,409157.0
46,416808.0
47,415642.0
48,413823.0
49,401898.0
50,397487.0
51,391810.0
52,381355.0
53,377699.0
54,367829.0
55,372699.0
56,360560.0
57,353940.0
58,350632.0
59,345200.0
60,327227.0
61,315819.0
62,306770.0
63,305825.0
64,293395.0
65,285252.0
66,265708.0
67,251081.0
68,240355.0
69,230899.0
70,227934.0
71,216871.0
72,206234.0
73,197461.0
74,201680.0
75,202804.0
76,170585.0
77,173521.0
78,163483.0
79,154763.0
80,138674.0
81,109971.0
82,111405.0
83,104070.0
84,75838.0
85,80306.0
85,542603.0
86,80545.0
87,74189.0
88,64134.0
89,55813.0
90,47393.0
91,37957.0
92,29950.0
93,22212.0
94,16331.0
95,11765.0
96,7830.0
97,5434.0
98,3594.0
99,2359.0
100,1337.0
100,2791.0
101,708.0
102,343.0
103,209.0
104,85.0
105,109.0
